Company,Site,Facility,State,Area,Date,TimeUTC,Rocket,Mission,RocketStatus,Price,MissionStatus
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,8/5/1971,10:00:00,Voskhod,Cosmos 432,0,,1
General Dynamics,LC-576A2,Vandenberg AFB,California,USA,8/7/1971,0:11:00,Atlas-E/F OV1,OV1-20 OV1-21,0,,1
RVSN USSR,Site 161/35,Baikonur Cosmodrome,,Kazakhstan,8/8/1971,23:45:00,Tsyklon,Cosmos 433,0,,1
US Air Force,SLC-4W,Vandenberg AFB,California,USA,8/12/1971,15:30:00,Titan III(24)B,OPS 8607,0,,1
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,8/19/1971,6:30:00,Voskhod,Zenit-2M n­22,0,,2
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,8/27/1971,10:54:00,Cosmos-2I (63SM),Cosmos 435,0,,1
RVSN USSR,Site 81/24,Baikonur Cosmodrome,,Kazakhstan,9/2/1971,13:40:00,Proton K/Block D,Luna-18,0,,1
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,9/7/1971,1:15:00,Cosmos-3M (11K65M),Cosmos 436,0,,1
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,9/10/1971,3:38:00,Cosmos-3M (11K65M),Cosmos 437,0,,1
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,9/14/1971,13:00:00,Voskhod,Cosmos 438,0,,1
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,9/21/1971,12:00:00,Voskhod,Cosmos 439,0,,1
RVSN USSR,Site 133/3,Plesetsk Cosmodrome,,Russia,9/24/1971,10:30:00,Cosmos-2I (63SM),Cosmos 440,0,,1
ISAS,Mu Pad,Uchinoura Space Center,,Japan,9/28/1971,4:00:00,Mu-IV S,Shinsei,0,,1
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,9/28/1971,7:40:00,Voskhod,Cosmos 441,0,,1
RVSN USSR,Site 81/24,Baikonur Cosmodrome,,Kazakhstan,9/28/1971,10:00:00,Proton K/Block D,Luna-19,0,,1
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,9/29/1971,11:30:00,Voskhod,Cosmos 442,0,,1
RVSN USSR,Site 43/3,Plesetsk Cosmodrome,,Russia,10/7/1971,12:30:00,Voskhod,Cosmos 443,0,,1
RVSN USSR,Site 132/2,Plesetsk Cosmodrome,,Russia,10/13/1971,13:41:00,Cosmos-3M (11K65M),Cosmos 444 to 451,0,,1
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,10/14/1971,9:00:00,Voskhod,Cosmos 452,0,,1
